"","petrol","way"
"1",4.97883771284563,"A"
"2",4.91913956886337,"A"
"3",4.95621305121406,"A"
"4",5.04043148745527,"A"
"5",5.002841983195,"A"
"6",4.97638591123496,"A"
"7",4.95576735976088,"A"
"8",4.9758552970643,"A"
"9",5.00331521072515,"A"
"10",5.08024718429173,"A"
"11",5.04536006479458,"A"
"12",4.95768619977517,"A"
"13",4.98377654876917,"A"
"14",5.01333840139157,"A"
"15",4.98041318262072,"A"
"16",5.00803899030397,"A"
"17",4.93168012586041,"A"
"18",5.00762160290809,"A"
"19",5.00430873062764,"A"
"20",4.98958188269048,"A"
"21",4.99173336550976,"A"
"22",4.99347503502832,"A"
"23",4.97653092057586,"A"
"24",5.0562209800259,"A"
"25",4.92233263905411,"A"
"26",4.91734514076592,"A"
"27",4.88910015481338,"A"
"28",4.95612476605343,"A"
"29",5.03968360898855,"A"
"30",4.9526158969697,"A"
"31",5.08540427231941,"A"
"32",5.0146209311485,"A"
"33",5.00940227092622,"A"
"34",5.11538420804612,"A"
"35",4.97889113016696,"A"
"36",5.05823970522717,"A"
"37",4.93878832564841,"A"
"38",5.06774075606033,"A"
"39",5.01258547368827,"A"
"40",5.01704963823646,"A"
"41",5.00644436129301,"A"
"42",5.10334698022671,"A"
"43",4.99556225713949,"A"
"44",4.9682151062229,"A"
"45",4.9927059953061,"A"
"46",4.91709470115632,"A"
"47",4.9724132961797,"A"
"48",4.97735430515935,"A"
"49",5.02640532490916,"A"
"50",4.93057548399743,"A"
"51",5.00890841348197,"A"
"52",4.99660492488889,"A"
"53",5.02110818528639,"A"
"54",5.03243315143012,"A"
"55",5.01568936818059,"A"
"56",4.98879962654751,"A"
"57",4.95814957187918,"A"
"58",4.98731967932844,"A"
"59",5.05089310482754,"A"
"60",5.02827700281776,"A"
"61",4.905673646072,"A"
"62",4.96501733540013,"A"
"63",5.02458519309252,"A"
"64",4.96032446047738,"A"
"65",5.03040144446991,"A"
"66",4.950373475283,"A"
"67",5.07074932593549,"A"
"68",5.01949342824028,"A"
"69",4.97258631612414,"A"
"70",5.03718959600431,"A"
"71",4.99691619586284,"B"
"72",4.89776779019699,"B"
"73",5.00268580635075,"B"
"74",5.0676848733886,"B"
"75",5.01434025855917,"B"
"76",5.01674911244565,"B"
"77",5.02899171380694,"B"
"78",5.05928186160036,"B"
"79",5.06009936150788,"B"
"80",5.09437749770099,"B"
"81",4.98180154042567,"B"
"82",4.92356460628564,"B"
"83",4.83488819434712,"B"
"84",5.00856992166708,"B"
"85",4.9311714941652,"B"
"86",5.01863809256327,"B"
"87",5.07168623269315,"B"
"88",5.01940253597176,"B"
"89",5.06719700613544,"B"
"90",5.04158481624195,"B"
"91",5.09860654615509,"B"
"92",4.95895805640106,"B"
"93",5.04804365314045,"B"
"94",5.06038948346921,"B"
"95",5.04335047838687,"B"
"96",4.97147920352509,"B"
"97",5.03029550253474,"B"
"98",4.95624006435057,"B"
"99",5.00287548859444,"B"
"100",5.04499819242479,"B"
"101",5.97906913448442,"B"
"102",6.00411470265407,"B"
"103",6.06946712606249,"B"
"104",6.01485475681509,"B"
"105",6.05283164804985,"B"
"106",5.97886818436148,"B"
"107",6.00976259105471,"B"
"108",5.97546358912932,"B"
"109",6.00558810473311,"B"
"110",6.06796739662166,"B"
"111",5.90533481653591,"B"
"112",6.06698531070554,"B"
"113",5.9801971950328,"B"
"114",5.98791886385446,"B"
"115",6.02521915640332,"B"
"116",5.91537772922957,"B"
"117",5.99336002297422,"B"
"118",5.93094640832612,"B"
"119",5.91849502951079,"B"
"120",5.97273708656533,"B"
"121",6.02169868194034,"B"
"122",5.98698789579793,"B"
"123",5.90510131419925,"B"
"124",5.98074171999262,"B"
"125",5.82028446053559,"B"
"126",5.96024161649142,"B"
"127",6.00040858607111,"B"
"128",5.99297988591895,"B"
"129",5.89415918850264,"B"
"130",6.03924980402005,"B"
"131",5.91197279780913,"B"
"132",5.97154871731437,"B"
"133",6.08948213232365,"B"
"134",5.90538462184534,"B"
"135",5.92863483057577,"B"
"136",5.90007328145241,"B"
"137",5.93229103179201,"B"
"138",5.86692601088667,"B"
"139",6.11215122747081,"B"
"140",6.05380698419599,"B"
"141",5.93494336307667,"B"
"142",5.92597743565151,"B"
"143",5.95311744452181,"B"
"144",6.07002183088778,"B"
"145",6.04275101060002,"B"
"146",5.99704903924187,"B"
"147",6.07772697544296,"B"
"148",5.9769369463892,"B"
"149",5.84080979655605,"B"
"150",6.00629505864588,"B"
"151",6.0349406045146,"B"
"152",5.88906483898482,"B"
"153",6.07864834501526,"B"
"154",6.02038660908706,"B"
"155",5.94072546144107,"B"
"156",6.03001629468771,"B"
"157",6.01196867402547,"B"
"158",6.06085313868382,"B"
